symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2020-01-21 00:00:00+00:00,221.44,222.37,219.12,222.155,14162007,221.44,0.0,222.37,219.12,222.155,1.0,14162007
FB,2020-01-22 00:00:00+00:00,221.32,222.75,221.28,222.31,12212814,221.32,0.0,222.75,221.28,222.31,1.0,12212814
FB,2020-01-23 00:00:00+00:00,219.76,221.485,219.27,220.75,11195000,219.76,0.0,221.485,219.27,220.75,1.0,11195000
FB,2020-01-24 00:00:00+00:00,217.94,221.78,216.11,220.8,11905824,217.94,0.0,221.78,216.11,220.8,1.0,11905824
FB,2020-01-27 00:00:00+00:00,214.87,216.06,212.5,213.1,13810655,214.87,0.0,216.06,212.5,213.1,1.0,13810655
FB,2020-01-28 00:00:00+00:00,217.79,218.74,213.52,216.14,13413835,217.79,0.0,218.74,213.52,216.14,1.0,13413835
FB,2020-01-29 00:00:00+00:00,223.23,224.2,218.45,221.44,33610005,223.23,0.0,224.2,218.45,221.44,1.0,33610005
FB,2020-01-30 00:00:00+00:00,209.53,211.43,204.75,206.53,48775500,209.53,0.0,211.43,204.75,206.53,1.0,48775500
FB,2020-01-31 00:00:00+00:00,201.91,208.69,201.06,208.43,31359917,201.91,0.0,208.69,201.06,208.43,1.0,31359917
FB,2020-02-03 00:00:00+00:00,204.19,205.14,202.5,203.44,15510509,204.19,0.0,205.14,202.5,203.44,1.0,15510509
FB,2020-02-04 00:00:00+00:00,209.83,210.6,205.2025,206.6165,19628890,209.83,0.0,210.6,205.2025,206.6165,1.0,19628890
FB,2020-02-05 00:00:00+00:00,210.11,212.73,208.71,212.51,12538154,210.11,0.0,212.73,208.71,212.51,1.0,12538154
FB,2020-02-06 00:00:00+00:00,210.85,211.19,209.338,210.47,10567533,210.85,0.0,211.19,209.338,210.47,1.0,10567533
FB,2020-02-07 00:00:00+00:00,212.33,212.82,209.93,210.3,12242530,212.33,0.0,212.82,209.93,210.3,1.0,12242530
FB,2020-02-10 00:00:00+00:00,213.06,213.8,210.66,211.52,11856350,213.06,0.0,213.8,210.66,211.52,1.0,11856350
FB,2020-02-11 00:00:00+00:00,207.19,210.86,206.5102,210.19,25030810,207.19,0.0,210.86,206.5102,210.19,1.0,25030810
